nr_ano_referencia;nr_mes_referencia;ds_servico_tipo_linha;ds_natureza_etapa;quantidade_de_voos
2024;1;CARGUEIRO;DOMÉSTICA;1916
2024;1;CARGUEIRO;INTERNACIONAL;201
2024;1;NÃO IDENTIFICADO;INTERNACIONAL;9459
2024;1;PASSAGEIRO;DOMÉSTICA;66719
2024;1;PASSAGEIRO;INTERNACIONAL;3901
2024;2;CARGUEIRO;DOMÉSTICA;1787
2024;2;CARGUEIRO;INTERNACIONAL;195
2024;2;NÃO IDENTIFICADO;INTERNACIONAL;8867
2024;2;PASSAGEIRO;DOMÉSTICA;59537
2024;2;PASSAGEIRO;INTERNACIONAL;3201
2024;3;CARGUEIRO;DOMÉSTICA;1913
2024;3;CARGUEIRO;INTERNACIONAL;188
2024;3;NÃO IDENTIFICADO;INTERNACIONAL;8995
2024;3;PASSAGEIRO;DOMÉSTICA;63179
2024;3;PASSAGEIRO;INTERNACIONAL;3140
2024;4;CARGUEIRO;DOMÉSTICA;1947
2024;4;CARGUEIRO;INTERNACIONAL;207
2024;4;NÃO IDENTIFICADO;INTERNACIONAL;8218
2024;4;PASSAGEIRO;DOMÉSTICA;64012
2024;4;PASSAGEIRO;INTERNACIONAL;3094
2024;5;CARGUEIRO;DOMÉSTICA;1825
2024;5;CARGUEIRO;INTERNACIONAL;197
2024;5;NÃO IDENTIFICADO;INTERNACIONAL;8378
2024;5;PASSAGEIRO;DOMÉSTICA;61674
2024;5;PASSAGEIRO;INTERNACIONAL;3065
2024;6;CARGUEIRO;DOMÉSTICA;1743
2024;6;CARGUEIRO;INTERNACIONAL;199
2024;6;NÃO IDENTIFICADO;INTERNACIONAL;8399
2024;6;PASSAGEIRO;DOMÉSTICA;61946
2024;6;PASSAGEIRO;INTERNACIONAL;3032
2024;7;CARGUEIRO;DOMÉSTICA;1778
2024;7;CARGUEIRO;INTERNACIONAL;204
2024;7;NÃO IDENTIFICADO;INTERNACIONAL;9332
2024;7;PASSAGEIRO;DOMÉSTICA;69218
2024;7;PASSAGEIRO;INTERNACIONAL;3856
2024;8;CARGUEIRO;DOMÉSTICA;1767
2024;8;CARGUEIRO;INTERNACIONAL;216
2024;8;NÃO IDENTIFICADO;INTERNACIONAL;9268
2024;8;PASSAGEIRO;DOMÉSTICA;66731
2024;8;PASSAGEIRO;INTERNACIONAL;3457
2024;9;CARGUEIRO;DOMÉSTICA;1538
2024;9;CARGUEIRO;INTERNACIONAL;183
2024;9;NÃO IDENTIFICADO;INTERNACIONAL;8762
2024;9;PASSAGEIRO;DOMÉSTICA;64163
2024;9;PASSAGEIRO;INTERNACIONAL;3474
2024;10;CARGUEIRO;DOMÉSTICA;1737
2024;10;CARGUEIRO;INTERNACIONAL;166
2024;10;NÃO IDENTIFICADO;INTERNACIONAL;8819
2024;10;PASSAGEIRO;DOMÉSTICA;66042
2024;10;PASSAGEIRO;INTERNACIONAL;3691
2024;11;CARGUEIRO;DOMÉSTICA;1361
2024;11;CARGUEIRO;INTERNACIONAL;151
2024;11;NÃO IDENTIFICADO;INTERNACIONAL;8970
2024;11;PASSAGEIRO;DOMÉSTICA;62394
2024;11;PASSAGEIRO;INTERNACIONAL;3553
2024;12;CARGUEIRO;DOMÉSTICA;1458
2024;12;CARGUEIRO;INTERNACIONAL;150
2024;12;NÃO IDENTIFICADO;INTERNACIONAL;9662
2024;12;PASSAGEIRO;DOMÉSTICA;66629
2024;12;PASSAGEIRO;INTERNACIONAL;4145
