Codigo;NomeBarragem;NomeEmpreendedor;CpfCnpjFormatado;LatitudeFormatada;LongitudeFormatada;CoordenadaSIRGAFormatado;Municipio;UF;Minerio;Altura;VolumeAtualFormatado;MetodoConstrutivoFormatado;CategoriaRisco;DanoPotencial;GestaoOperacional;InseridaPNSBFormatada;SituacaoNivelEmergencial;SituacaoDeclaracaoCondicaoEstabilidade;SituacaoDeclaracaoCondicaoEstabilidadeRPSB;SituacaoDeclaracaoConformidadeOperacionalidade;SituacaoOperacionalFormatado;StatusEmbargo
9776; VALE GOLD;VALE GOLD S.A.;38.615.413/0001-53;-15°55'09.590";-56°29'27.180";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;;0;0,00;Indefinido;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Em Construção;Não Embargada
8662;0-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'00.100";-60°08'18.200";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;19,60;57.463.773,00;0 - Etapa única;Alto;Alto;B;Sim;Nível de Emergência 1;2º Campanha 2024 - Atestado;Não Atestado;Campanha 2024 - Atestado;Inativa;Embargada
8435;1 Mina;VALE S.A.;33.592.510/0001-54;-06°23'57.800";-50°20'24.500";Sul do Equador;CANAÃ DOS CARAJÁS;PA;-;6,99;13.414,72;0 - Etapa única;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
8619;1 Usina;VALE S.A.;33.592.510/0001-54;-06°27'17.700";-50°13'43.500";Sul do Equador;CANAÃ DOS CARAJÁS;PA;-;7,59;41.574,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
8779;103 (Cruz);MINERACAO TABOCA S A;34.019.992/0001-10;-00°47'08.600";-60°08'30.900";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;10,30;1.272.115,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Não Embargada
9144;11 - DES;MINERACAO JUNDU LTDA;60.628.468/0001-57;-21°57'17.062";-47°36'48.014";Sul do Equador;DESCALVADO;SP;Argila;5,00;1.140.000,00;2 - Alteamento a jusante;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Em descaracterização (projeto/obras/monitoramento);Não Embargada
8778;111 (Índio);MINERACAO TABOCA S A;34.019.992/0001-10;-00°47'22.800";-60°08'39.400";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;5,00;1.063.736,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Não Embargada
9288;12 - AN;MINERACAO JUNDU LTDA;60.628.468/0001-57;-22°09'25.047";-47°38'34.049";Sul do Equador;ANALÂNDIA;SP;Argila;10,00;492.348,00;0 - Etapa única;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9145;12 - DES;MINERACAO JUNDU LTDA;60.628.468/0001-57;-21°57'06.006";-47°36'47.022";Sul do Equador;DESCALVADO;SP;Argila;11,00;577.840,39;2 - Alteamento a jusante;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9146;13 - AN;MINERACAO JUNDU LTDA;60.628.468/0001-57;-22°09'18.075";-47°38'22.025";Sul do Equador;ANALÂNDIA;SP;Argila;8,00;663.184,00;2 - Alteamento a jusante;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Em descaracterização (projeto/obras/monitoramento);Não Embargada
8684;158 (A-1);MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'16.900";-60°04'44.100";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;30,00;46.000.000,00;2 - Alteamento a jusante;Médio;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Desembargada
8685;161 (A-2);MINERACAO TABOCA S A;34.019.992/0001-10;-00°43'56.233";-60°04'08.396";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;10,90;1.400.000,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Não Embargada
8771;189;MINERACAO TABOCA S A;34.019.992/0001-10;-00°47'22.400";-60°00'46.900";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;5,00;209.969,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8381;2;VALE S.A.;33.592.510/0001-54;-19°58'24.601";-43°36'13.419";Sul do Equador;BARÃO DE COCAIS;MG;-;10,00;9.445,19;2 - Alteamento a jusante;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8668;22;MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'19.100";-60°10'02.600";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;6,00;56.519,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8620;3 Mina;VALE S.A.;33.592.510/0001-54;-06°23'39.900";-50°19'11.300";Sul do Equador;CANAÃ DOS CARAJÁS;PA;-;14,61;84.105,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
8673;30-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°42'25.600";-60°11'33.100";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;8,00;1.320,09;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8675;42;MINERACAO TABOCA S A;34.019.992/0001-10;-00°43'24.700";-60°11'48.200";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;4,90;130.979,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8774;444 (A-3);MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'18.326";-60°04'33.114";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;14,70;1.122.245,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Não Embargada
8421;5 (MAC);VALE S.A.;33.592.510/0001-54;-19°58'37.512";-43°53'34.810";Sul do Equador;NOVA LIMA;MG;Minério de Ferro;83,05;13.983.755,99;2 - Alteamento a jusante;Médio;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Inativa;Desembargada
8525;5 (Mutuca);VALE S.A.;33.592.510/0001-54;-20°01'34.413";-43°56'33.225";Sul do Equador;NOVA LIMA;MG;Minério de Ferro;55,00;9.771.474,42;2 - Alteamento a jusante;Médio;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Embargada
9629;6;VALE S.A.;33.592.510/0001-54;-19°57'36.000";-43°52'58.000";Sul do Equador;NOVA LIMA;MG;-;21,60;68.400,76;0 - Etapa única;Alto;Alto;B;Sim;Nível de Emergência 1;2º Campanha 2024 - Não Atestado;Não Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Embargada
8676;68-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'25.500";-60°12'05.100";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;6,00;3.752,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8677;69;MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'35.500";-60°12'05.100";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;5,00;84.941,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8678;75-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°45'41.600";-60°12'21.500";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;4,00;75.522,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
9630;7a;VALE S.A.;33.592.510/0001-54;-19°57'56.000";-43°53'07.000";Sul do Equador;NOVA LIMA;MG;-;37,67;187.482,39;0 - Etapa única;Alto;Alto;B;Sim;Nível de Emergência 1;2º Campanha 2024 - Não Atestado;Não Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Embargada
8422;7B;VALE S.A.;33.592.510/0001-54;-19°58'02.514";-43°52'58.725";Sul do Equador;NOVA LIMA;MG;-;31,36;205.079,22;0 - Etapa única;Médio;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Inativa;Não Embargada
8995;803.285/2014;PLINIO ALMEIDA BOSON & CIA LTDA;11.714.784/0001-36;-09°14'09.800";-42°34'41.200";Sul do Equador;SÃO LOURENÇO DO PIAUÍ;PI;Saibro;1,00;500,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8679;81-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°47'07.300";-60°11'36.280";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;4,70;3.311.822,00;0 - Etapa única;Alto;Alto;B;Sim;Nível de Emergência 1;2º Campanha 2024 - Não Atestado;Não Atestado;Campanha 2024 - Atestado;Inativa;Embargada
8383;A - PDE Nordeste;VALE S.A.;33.592.510/0001-54;-19°56'55.421";-43°35'12.119";Sul do Equador;BARÃO DE COCAIS;MG;-;7,25;300,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
9353;Água Fria ;Topazio Imperial Mineração Comercio e Industria Ltda;16.857.294/0001-02;-20°26'50.670";-43°38'37.760";Sul do Equador;OURO PRETO;MG;Aluvião com Gemas;34,00;2.100.000,00;10 - Alteamento a montante;Alto;Alto;B;Sim;Nível de Emergência 1;2º Campanha 2024 - Atestado;Não Enviado;Campanha 2024 - Não Atestado;Em descaracterização (projeto/obras/monitoramento);Embargada
9661;Agua Limpa;Granha Ligas Ltda;05.833.746/0001-08;-21°05'02.170";-44°34'36.666";Sul do Equador;SÃO TIAGO;MG;-;10,00;177.067,00;0 - Etapa única;Baixo;Médio;A;Sim;Nível de Alerta;2º Campanha 2024 - Atestado;Atestado;-;Em descaracterização (projeto/obras/monitoramento);Embargada
8458;Alain II;ALAIN STEPHANE RIVIERE MINERACAO;15.264.439/0001-07;-16°15'18.000";-56°36'55.000";Sul do Equador;POCONÉ;MT;Areia;15,00;844.440,00;5 - Alteamento por linha de centro;Alto;Alto;B;Sim;Nível de Emergência 1;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Embargada
8311;Alcindo Vieira;VALE S.A.;33.592.510/0001-54;-19°34'28.232";-43°14'46.628";Sul do Equador;ITABIRA;MG;-;24,00;567.280,00;2 - Alteamento a jusante;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Não Embargada
9037;Alemães;GERDAU ACOMINAS S/A;17.227.422/0001-05;-20°25'24.810";-43°45'11.170";Sul do Equador;OURO PRETO;MG;Minério de Ferro;61,00;3.415.000,00;2 - Alteamento a jusante;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Não Embargada
8276;Alto Jacutinga;VALE S.A.;33.592.510/0001-54;-20°25'33.600";-43°53'09.500";Sul do Equador;CONGONHAS;MG;-;12,45;109.715,22;5 - Alteamento por linha de centro;Médio;Alto;B;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;-;Ativa;Não Embargada
9639;Alvo Crente;ALTA FLORESTA GOLD MINERACAO LTDA;17.580.707/0001-17;-09°22'46.850";-56°33'52.000";Sul do Equador;PARANAÍTA;MT;;0;0,00;Indefinido;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Em Construção;Não Embargada
9632;Área IX;VALE S.A.;33.592.510/0001-54;-20°24'44.114";-43°52'43.867";Sul do Equador;OURO PRETO;MG;Minério de Ferro;17,75;1.350.000,00;10 - Alteamento a montante;Médio;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Embargada
9229;Area M;CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO Filial: CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO - EM RECUPERACAO JUDICIAL;27.184.936/0007-61;-04°31'24.900";-44°00'57.700";Sul do Equador;CODÓ;MA;Calcário;6,00;2.839.200,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
9676;ARENAL;COOPERATIVA DE MINERADORES E GARIMPEIROS DA REGIAO DE ARIPUANA - COOPEMIGA;36.084.594/0001-03;-10°07'16.390";-59°28'21.150";Sul do Equador;ARIPUANÃ;MT;Minério de Ouro Primário;5,00;125.764,57;2 - Alteamento a jusante;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
8193;Azul;VALE S.A.;33.592.510/0001-54;-06°04'41.300";-50°17'29.300";Sul do Equador;PARAUAPEBAS;PA;Minério de Manganês;32,00;19.469.460,00;2 - Alteamento a jusante;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Não Embargada
9101;B;VALE S.A.;33.592.510/0001-54;-20°07'27.900";-43°55'30.800";Sul do Equador;NOVA LIMA;MG;-;45,00;841.897,18;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Inativa;Embargada
9122;B1;Valdinei Mauro de Souza;***;-16°08'21.600";-56°23'45.600";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Minério de Ouro Primário;19,13;2.131.265,95;2 - Alteamento a jusante;Médio;Médio;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;-;Ativa;Não Embargada
8934;B1;NACIONAL DE GRAFITE LTDA;21.228.861/0001-00;-20°26'39.200";-45°08'00.700";Sul do Equador;ITAPECERICA;MG;Xisto;12,00;55.000,00;2 - Alteamento a jusante;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Em descaracterização (projeto/obras/monitoramento);Não Embargada
