path,size
dados/flightsbr_parquet/nr_ano_referencia=2024/nr_mes_referencia=1/part-0.parquet,6.78M
dados/flightsbr_parquet/nr_ano_referencia=2024/nr_mes_referencia=10/part-0.parquet,6.3M
dados/flightsbr_parquet/nr_ano_referencia=2024/nr_mes_referencia=11/part-0.parquet,6.09M
dados/flightsbr_parquet/nr_ano_referencia=2024/nr_mes_referencia=12/part-0.parquet,6.56M
dados/flightsbr_parquet/nr_ano_referencia=2024/nr_mes_referencia=2/part-0.parquet,6.14M
dados/flightsbr_parquet/nr_ano_referencia=2024/nr_mes_referencia=3/part-0.parquet,6.41M
dados/flightsbr_parquet/nr_ano_referencia=2024/nr_mes_referencia=4/part-0.parquet,6.46M
dados/flightsbr_parquet/nr_ano_referencia=2024/nr_mes_referencia=5/part-0.parquet,6.24M
dados/flightsbr_parquet/nr_ano_referencia=2024/nr_mes_referencia=6/part-0.parquet,6.11M
dados/flightsbr_parquet/nr_ano_referencia=2024/nr_mes_referencia=7/part-0.parquet,6.54M
dados/flightsbr_parquet/nr_ano_referencia=2024/nr_mes_referencia=8/part-0.parquet,6.41M
dados/flightsbr_parquet/nr_ano_referencia=2024/nr_mes_referencia=9/part-0.parquet,6.13M
